localidade;state;date;cum_confirmed;cum_deaths;new_confirmed;new_deaths;mob1;mob2;mob3;mob4;mob5;mob6
15;PA;18/03/2020;1;0;1;0;-13;8;-16;-7;1;4
15;PA;19/03/2020;1;0;0;0;-25;4;-26;-12;-10;8
15;PA;20/03/2020;2;0;1;0;-30;6;-34;-18;-11;10
15;PA;21/03/2020;2;0;0;0;-52;-7;-48;-26;-16;12
15;PA;22/03/2020;4;0;2;0;-64;-22;-59;-50;-21;13
15;PA;23/03/2020;5;0;1;0;-52;-17;-42;-46;-27;15
15;PA;24/03/2020;5;0;0;0;-57;-24;-46;-53;-36;15
15;PA;25/03/2020;7;0;2;0;-56;-23;-43;-56;-37;16
15;PA;26/03/2020;13;0;6;0;-55;-22;-43;-52;-37;15
15;PA;27/03/2020;16;0;3;0;-55;-19;-47;-53;-34;16
15;PA;28/03/2020;18;0;2;0;-58;-22;-49;-55;-26;13
15;PA;29/03/2020;20;0;2;0;-61;-25;-53;-64;-19;12
15;PA;30/03/2020;26;0;6;0;-49;-20;-41;-53;-29;14
15;PA;31/03/2020;34;0;8;0;-46;-15;-41;-50;-30;13
15;PA;01/04/2020;41;1;7;1;-44;-10;-36;-47;-30;13
15;PA;02/04/2020;49;1;8;0;-44;-9;-35;-46;-29;14
15;PA;03/04/2020;75;1;26;0;-46;-7;-42;-48;-27;16
15;PA;04/04/2020;82;1;7;0;-51;-8;-45;-48;-20;12
15;PA;05/04/2020;86;1;4;0;-58;-16;-53;-62;-18;12
15;PA;06/04/2020;123;5;37;4;-41;-7;-33;-48;-25;12
15;PA;07/04/2020;154;5;31;0;-41;-5;-33;-44;-28;11
15;PA;08/04/2020;165;6;11;1;-42;-5;-35;-49;-29;12
15;PA;09/04/2020;169;7;4;1;-40;7;-31;-48;-32;11
15;PA;10/04/2020;217;9;48;2;-72;-50;-56;-80;-67;23
15;PA;11/04/2020;237;11;20;2;-50;-7;-49;-57;-25;14
15;PA;12/04/2020;259;14;22;3;-60;-20;-59;-69;-19;12
15;PA;13/04/2020;310;14;51;0;-45;-15;-38;-58;-26;14
15;PA;14/04/2020;384;21;74;7;-52;-23;-47;-52;-32;16
15;PA;15/04/2020;487;21;103;0;-46;-12;-36;-49;-30;15
15;PA;16/04/2020;557;26;70;5;-45;-11;-34;-46;-30;15
15;PA;17/04/2020;627;32;70;6;-52;-16;-48;-57;-32;20
15;PA;18/04/2020;641;33;14;1;-54;-10;-47;-58;-21;14
15;PA;19/04/2020;685;34;44;1;-62;-21;-57;-70;-20;14
15;PA;20/04/2020;902;35;217;1;-46;-9;-36;-59;-33;15
15;PA;21/04/2020;1026;38;124;3;-67;-36;-47;-71;-60;21
15;PA;22/04/2020;1195;43;169;5;-48;-10;-37;-56;-32;14
15;PA;23/04/2020;1267;53;72;10;-49;-11;-38;-47;-32;15
15;PA;24/04/2020;1579;86;312;33;-53;-13;-48;-53;-31;17
15;PA;25/04/2020;1745;95;166;9;-56;-12;-48;-54;-22;14
15;PA;26/04/2020;2070;114;325;19;-64;-20;-58;-67;-21;15
15;PA;27/04/2020;2219;122;149;8;-49;-10;-36;-54;-30;17
15;PA;28/04/2020;2319;132;100;10;-50;-7;-36;-52;-34;13
15;PA;29/04/2020;2586;156;267;24;-50;-7;-37;-48;-35;16
15;PA;30/04/2020;2999;224;413;68;-49;2;-36;-48;-36;16
15;PA;01/05/2020;3359;263;360;39;-71;-39;-56;-74;-62;26
15;PA;02/05/2020;3727;306;368;43;-58;-6;-50;-57;-28;16
15;PA;03/05/2020;3920;317;193;11;-66;-20;-59;-69;-23;15
15;PA;04/05/2020;4262;344;342;27;-50;-6;-37;-53;-32;15
15;PA;05/05/2020;4756;375;494;31;-48;1;-36;-42;-35;14
15;PA;06/05/2020;5524;410;768;35;-46;5;-31;-38;-35;15
15;PA;07/05/2020;5935;488;411;78;-53;-6;-40;-51;-38;17
15;PA;08/05/2020;6519;574;584;86;-53;-1;-45;-52;-35;20
15;PA;09/05/2020;7018;610;499;36;-56;-2;-50;-52;-26;17
15;PA;10/05/2020;7348;672;330;62;-66;-20;-61;-69;-17;15
15;PA;11/05/2020;8069;812;721;140;-57;-21;-44;-59;-37;20
15;PA;12/05/2020;9059;914;990;102;-56;-16;-43;-58;-39;18
15;PA;13/05/2020;10344;1022;1285;108;-58;-20;-43;-57;-40;19
