State;ELM;SVR;XGBoost;EEMD--HEM;EEMD--ELM;EEMD--SVR;EEMD--XGBoost;ARIMA;EEMD--LSTM;LSTM
BA;-80;1152;2520;2084;2683;2084;2263;2100;120;1182
BA;-1744;-2413;-2312;111;956;111;50;-1849;-2105;140
BA;-2109;-1286;-2695;-223;-831;-223;-29;-2196;-2328;-163
BA;1963;1404;826;304;1756;304;129;354;-1875;-363
BA;1932;1580;704;440;2542;440;957;682;-1323;69
BA;781;110;-39;-746;2147;-746;791;-591;-2560;-1212
BA;405;3;925;1072;2498;1072;1977;-322;-1729;-880
BA;605;-239;896;419;3303;419;1262;344;-863;247
BA;-1557;-2560;-3061;-950;1111;-950;-382;-2220;-3410;-518
BA;763;-1867;-2120;-931;-323;-931;-632;-2850;-2549;-557
BA;4109;158;-131;-719;2251;-719;-1037;-847;-2235;-1288
BA;4477;183;-139;-1103;2512;-1103;338;-680;-1024;-1090
BA;5233;822;784;245;2968;245;1360;-143;-720;1048
BA;4053;-634;-1570;-892;2373;-892;-1054;-1208;-679;114
CE;662;20;1235;121;1994;1062;1756;627;-275;752
CE;-366;-486;-21;-152;1045;382;163;-795;-444;-697
CE;-870;-731;-379;-291;-298;-452;-391;-871;-614;-1138
CE;-380;-152;179;321;833;426;-260;451;-655;285
CE;-782;-264;-625;275;866;483;62;427;-1594;130
CE;-1022;-504;116;143;824;467;-15;385;-1010;172
CE;-716;9;1619;628;1952;1219;887;880;405;797
CE;-2281;-1025;315;-504;918;-354;-325;-449;-1174;-326
CE;-2458;-1010;-249;-455;403;-11;-328;-942;-1152;-953
CE;-2738;-1122;-455;-618;-313;-330;123;-809;-1443;-1007
CE;-1187;491;1251;952;1506;979;1161;1037;-26;852
CE;-2429;-840;11;-381;286;-329;-111;-186;-1378;-354
CE;-1819;-518;876;15;897;130;80;321;-426;286
CE;-1321;-279;823;244;1218;75;353;483;-699;259
DF;-74;-343;-421;-335;-342;-117;-368;-171;-372;-610
DF;357;197;422;87;1053;187;266;12;-339;143
DF;-21;-475;-158;-470;-406;-396;-627;-350;-752;-289
DF;1576;1077;1448;881;1379;1435;1588;1288;866;1040
DF;157;-738;-456;-739;-411;-175;-71;-332;-705;-443
DF;739;-689;-557;-638;-274;-258;-308;-297;-697;-369
DF;1349;-547;-392;-531;-212;-501;-309;-602;-1081;-729
DF;2676;-286;-560;-89;-602;-407;-361;-585;-1044;-434
DF;3659;-44;-515;-37;-18;-521;-620;-674;-1116;-551
DF;4313;-85;-443;-223;-764;-477;-499;-710;-1193;-473
DF;5961;75;-249;-64;-217;-799;-705;-512;-1049;-752
DF;6575;-315;-706;-454;-730;-696;-541;-829;-1238;-879
DF;8409;-285;-611;-285;-718;-490;-291;-738;-1164;-616
DF;9686;-243;-541;-257;-636;-406;-359;-707;-1073;-811
GO;511;123;262;246;105;-154;516;-1387;-1742;544
GO;-596;91;322;-129;-578;-743;170;-1963;-1123;491
GO;1434;1613;864;1006;1833;1484;2450;1154;-1330;-129
GO;-133;84;432;502;631;613;436;734;-1741;-530
GO;-1269;459;489;516;1920;922;-124;723;-1197;-192
GO;-5652;-1289;-553;-696;434;-326;-758;-649;-2079;-1338
GO;-9633;-613;571;171;785;-130;-373;-565;-1842;192
GO;-26155;-1398;-1410;-1512;-406;-1301;-2336;-2227;-2901;-713
GO;-61263;-1371;-493;-1512;724;-892;-568;-2127;-1502;341
GO;-155133;389;1609;854;1426;781;188;257;134;-822
GO;-394714;437;2205;347;2481;714;449;377;-422;-366
GO;-1016563;647;2675;521;2919;1105;1045;867;737;1852
GO;-2600646;841;2697;819;3495;1437;1018;995;-63;845
GO;-6682215;294;701;217;1869;660;165;20;-1529;294
MA;-37;3;-120;-156;-713;-156;-100;-126;-961;241
MA;-188;-53;13;-22;-567;-22;-7;-207;-1120;-16
MA;-560;-290;-343;-151;-368;-151;-62;-467;-1212;-309
MA;-410;-253;-425;-161;-472;-161;-508;-275;-796;-379
MA;505;604;468;441;399;441;330;276;-105;459
MA;201;343;188;-24;43;-24;-235;-158;-543;-40
MA;466;433;347;110;-47;110;104;85;-215;257
MA;33;186;132;43;-109;43;-65;-118;-870;-10
MA;-402;-130;-279;-32;-165;-32;-227;-493;-1085;-250
MA;-523;-313;-616;-68;-356;-68;-150;-599;-1039;-355
MA;-31;138;-914;258;-49;258;-269;-224;-586;-359
MA;832;848;308;474;355;474;398;333;118;358
MA;567;446;135;21;150;21;-196;-123;-388;-174
MA;882;578;365;194;174;194;-133;220;-355;230
MG;-1119;-635;-681;-150;-570;-351;-828;-115;-551;-712
MG;245;130;770;-40;62;411;-133;934;-407;152
MG;-725;-471;-941;-333;-850;-363;75;-622;-2083;-969
MG;76;516;532;72;48;514;641;520;-917;1025
MG;117;21;-503;9;-187;-25;-370;216;-1648;1638
MG;715;168;437;15;250;212;-145;443;-634;807
MG;-372;-378;-299;302;-226;-10;-196;52;-549;171
