"city","localidade","state","date","cum_confirmed","cum_deaths","new_confirmed","new_deaths","temp_media","umid_media","cum_cases_mins","cum_deaths_mins","new_cases_mins","new_deaths_mins","deaths_reg","metro_area_uf","retail_and_recreation_percent_change_from_baseline_uf","grocery_and_pharmacy_percent_change_from_baseline_uf","parks_percent_change_from_baseline_uf","transit_stations_percent_change_from_baseline_uf","workplaces_percent_change_from_baseline_uf","residential_percent_change_from_baseline_uf","driving_city","transit_city","walking_city"
"Manaus",130260,"AM",2020-03-13,2,0,2,0,30.02,69.42,0,0,0,0,0,NA,1,3,0,13,20,-2,NA,NA,NA
"Manaus",130260,"AM",2020-03-14,2,0,0,0,26.05,85.17,0,0,0,0,0,NA,-12,-1,-30,-6,2,3,NA,NA,NA
"Manaus",130260,"AM",2020-03-15,2,0,0,0,26.35,81.33,0,0,0,0,0,NA,-6,9,-10,3,2,2,NA,NA,NA
"Manaus",130260,"AM",2020-03-16,2,0,0,0,28.45,74.75,0,0,0,0,0,NA,-7,5,-4,9,16,-1,NA,NA,NA
"Manaus",130260,"AM",2020-03-17,2,0,0,0,28,77.42,0,0,0,0,0,NA,-13,6,-8,-3,6,2,NA,NA,NA
"Manaus",130260,"AM",2020-03-18,2,0,0,0,28.13,79.83,0,0,0,0,0,NA,-21,0,-20,-9,-3,5,NA,NA,NA
"Manaus",130260,"AM",2020-03-19,3,0,1,0,24.6,89.5,0,0,0,0,0,NA,-34,-12,-34,-23,-10,9,NA,NA,NA
"Manaus",130260,"AM",2020-03-20,7,0,4,0,25.64,79.67,0,0,0,0,0,NA,-25,3,-27,-19,-9,8,NA,NA,NA
"Manaus",130260,"AM",2020-03-21,11,0,4,0,27.97,74.38,0,0,0,0,0,NA,-40,2,-43,-25,-12,9,NA,NA,NA
"Manaus",130260,"AM",2020-03-22,25,0,14,0,29.51,70.25,0,0,0,0,0,NA,-60,-15,-60,-39,-23,10,NA,NA,NA
"Manaus",130260,"AM",2020-03-23,31,0,6,0,25.6,84.17,0,0,0,0,0,NA,-59,-22,-55,-43,-34,15,NA,NA,NA
"Manaus",130260,"AM",2020-03-24,45,0,14,0,26.89,74.42,0,0,0,0,1,NA,-57,-17,-44,-40,-33,12,NA,NA,NA
"Manaus",130260,"AM",2020-03-25,52,0,7,0,29.12,66.5,0,0,0,0,0,NA,-61,-25,-52,-46,-39,16,NA,NA,NA
"Manaus",130260,"AM",2020-03-26,63,0,11,0,29.67,70,0,0,0,0,0,NA,-60,-26,-50,-45,-39,16,NA,NA,NA
"Manaus",130260,"AM",2020-03-27,75,0,12,0,28.34,76.17,0,0,0,0,0,NA,-56,-22,-51,-42,-37,16,NA,NA,NA
"Manaus",130260,"AM",2020-03-28,105,0,30,0,28.27,77.79,105,0,105,0,0,NA,-59,-21,-56,-42,-32,13,NA,NA,NA
"Manaus",130260,"AM",2020-03-29,131,0,26,0,28.23,76.5,131,0,26,0,0,NA,-64,-28,-62,-46,-26,13,NA,NA,NA
"Manaus",130260,"AM",2020-03-30,140,1,9,1,25.87,88.13,140,0,9,0,1,NA,-57,-23,-52,-46,-40,16,NA,NA,NA
"Manaus",130260,"AM",2020-03-31,159,2,19,1,25.34,89.23,159,2,19,2,0,NA,-54,-17,-50,-45,-38,15,NA,NA,NA
"Manaus",130260,"AM",2020-04-01,179,2,20,0,26.61,79.83,179,2,20,0,1,NA,-49,-5,-47,-41,-39,15,NA,NA,NA
"Manaus",130260,"AM",2020-04-02,205,2,26,0,27.2,79.62,205,2,26,0,1,NA,-49,-9,-45,-41,-40,16,NA,NA,NA
"Manaus",130260,"AM",2020-04-03,232,5,27,3,28.07,76.12,232,4,27,2,4,NA,-47,-6,-46,-35,-37,16,NA,NA,NA
"Manaus",130260,"AM",2020-04-04,283,9,51,4,27.84,78.25,283,9,51,5,2,NA,-55,-9,-55,-38,-33,14,NA,NA,NA
"Manaus",130260,"AM",2020-04-05,379,11,96,2,28.9,75.5,379,10,96,1,0,NA,-64,-21,-63,-47,-29,13,NA,NA,NA
"Manaus",130260,"AM",2020-04-06,473,15,94,4,27.91,79.46,473,15,94,5,4,NA,-55,-12,-51,-43,-41,16,NA,NA,NA
"Manaus",130260,"AM",2020-04-07,560,19,87,4,27.77,81.17,560,19,87,4,9,NA,-51,-7,-46,-40,-41,14,NA,NA,NA
"Manaus",130260,"AM",2020-04-08,712,25,152,6,26.93,86.17,712,24,152,5,3,NA,-56,-17,-53,-47,-44,16,NA,NA,NA
"Manaus",130260,"AM",2020-04-09,800,33,88,8,25.16,90.83,800,33,88,9,9,NA,-53,-9,-50,-44,-47,17,NA,NA,NA
"Manaus",130260,"AM",2020-04-10,863,42,63,9,27.49,78.5,863,42,63,9,7,NA,-71,-36,-59,-60,-70,26,NA,NA,NA
"Manaus",130260,"AM",2020-04-11,932,45,69,3,25.9,85.29,932,45,69,3,16,NA,-63,-19,-63,-50,-41,18,NA,NA,NA
"Manaus",130260,"AM",2020-04-12,1053,51,121,6,26.74,79.75,1053,52,121,7,5,NA,-66,-23,-66,-51,-29,13,NA,NA,NA
"Manaus",130260,"AM",2020-04-13,1106,60,53,9,25.75,85.38,1106,62,53,10,9,NA,-58,-21,-52,-45,-43,17,NA,NA,NA
"Manaus",130260,"AM",2020-04-14,1295,81,189,21,26.1,80.17,1295,81,189,19,16,NA,-56,-20,-48,-46,-43,17,NA,NA,NA
"Manaus",130260,"AM",2020-04-15,1350,92,55,11,26.87,78.88,1350,92,55,11,13,NA,-57,-19,-53,-46,-44,18,NA,NA,NA
"Manaus",130260,"AM",2020-04-16,1459,107,109,15,26.9,79.67,1459,107,109,15,11,NA,-57,-21,-53,-45,-44,19,NA,NA,NA
"Manaus",130260,"AM",2020-04-17,1531,127,72,20,26.62,81.25,1531,127,72,20,13,NA,-56,-16,-53,-43,-42,20,NA,NA,NA
"Manaus",130260,"AM",2020-04-18,1593,134,62,7,25.3,85.25,1593,134,62,7,21,NA,-64,-18,-61,-45,-35,16,NA,NA,NA
"Manaus",130260,"AM",2020-04-19,1664,155,71,21,26.35,81.08,1664,156,71,22,14,NA,-69,-25,-65,-49,-30,14,NA,NA,NA
"Manaus",130260,"AM",2020-04-20,1772,156,108,1,26.06,86.96,1772,156,108,0,20,NA,-58,-14,-51,-43,-48,18,NA,NA,NA
"Manaus",130260,"AM",2020-04-21,1809,163,37,7,26.88,79.04,1809,163,37,7,20,NA,-69,-29,-51,-56,-63,21,NA,NA,NA
"Manaus",130260,"AM",2020-04-22,1958,172,149,9,27.08,81.04,1958,172,149,9,23,NA,-58,-16,-54,-42,-42,16,NA,NA,NA
"Manaus",130260,"AM",2020-04-23,2286,193,328,21,26.82,78.83,2286,193,328,21,26,NA,-59,-19,-52,-44,-43,17,NA,NA,NA
"Manaus",130260,"AM",2020-04-24,2481,207,195,14,27.46,78.79,2481,207,195,14,26,NA,-60,-21,-55,-43,-41,18,NA,NA,NA
