"localidade","state","date","cum_confirmed","cum_deaths","new_confirmed","new_deaths","cum_cases_mins","cum_deaths_mins","new_cases_mins","new_deaths_mins","gl_retail_and_recreation_percent_change_from_baseline","gl_grocery_and_pharmacy_percent_change_from_baseline","gl_parks_percent_change_from_baseline","gl_transit_stations_percent_change_from_baseline","gl_workplaces_percent_change_from_baseline","gl_residential_percent_change_from_baseline","ap_driving"
29,"BA",2020-03-06,1,0,1,0,1,0,1,0,-6,0,-30,2,16,1,83.89
29,"BA",2020-03-07,2,0,1,0,2,0,1,0,-4,2,-33,-7,3,4,87.05
29,"BA",2020-03-08,2,0,0,0,2,0,0,0,-11,-2,-35,-12,0,5,65.84
29,"BA",2020-03-09,2,0,0,0,2,0,0,0,-7,-1,-27,4,17,1,71.56
29,"BA",2020-03-10,2,0,0,0,2,0,0,0,-6,0,-24,3,15,0,70.71
29,"BA",2020-03-11,3,0,1,0,2,0,0,0,-5,-4,-16,4,18,0,72.29
29,"BA",2020-03-12,3,0,0,0,2,0,0,0,-7,-5,-20,1,17,1,70.09
29,"BA",2020-03-13,7,0,4,0,2,0,0,0,-6,0,-25,0,17,1,80.56
29,"BA",2020-03-14,7,0,0,0,2,0,0,0,-8,0,-31,-8,5,3,78.43
29,"BA",2020-03-15,9,0,2,0,2,0,0,0,-18,-4,-34,-17,0,5,55.07
29,"BA",2020-03-16,10,0,1,0,2,0,0,0,-13,1,-30,-5,14,2,60.41
29,"BA",2020-03-17,14,0,4,0,3,0,1,0,-17,1,-29,-16,7,3,57.45
29,"BA",2020-03-18,27,0,13,0,3,0,0,0,-25,-3,-30,-23,-3,7,51.6
29,"BA",2020-03-19,31,0,4,0,30,0,27,0,-33,-8,-38,-30,-13,9,46.27
29,"BA",2020-03-20,34,0,3,0,33,0,3,0,-40,-9,-51,-42,-18,11,47.03
29,"BA",2020-03-21,41,0,7,0,41,0,8,0,-60,-22,-64,-56,-28,14,37.68
29,"BA",2020-03-22,55,0,14,0,49,0,8,0,-73,-40,-72,-68,-34,16,27.25
29,"BA",2020-03-23,63,0,8,0,63,0,14,0,-67,-33,-66,-63,-43,18,30.94
29,"BA",2020-03-24,79,0,16,0,76,0,13,0,-71,-41,-65,-67,-51,19,30.58
29,"BA",2020-03-25,91,0,12,0,84,0,8,0,-71,-40,-61,-67,-50,20,31.34
29,"BA",2020-03-26,108,0,17,0,104,0,20,0,-70,-41,-60,-68,-50,20,32.49
29,"BA",2020-03-27,123,0,15,0,115,0,11,0,-69,-35,-65,-67,-48,21,36.73
29,"BA",2020-03-27,123,0,15,0,0,0,0,0,-69,-35,-65,-67,-48,21,36.73
29,"BA",2020-03-28,127,0,4,0,127,0,12,0,-70,-36,-67,-68,-42,19,35.28
29,"BA",2020-03-28,127,0,4,0,1,0,1,0,-70,-36,-67,-68,-42,19,35.28
29,"BA",2020-03-29,156,1,29,1,154,1,27,1,-73,-42,-71,-73,-33,17,28.72
29,"BA",2020-03-29,156,1,29,1,1,0,0,0,-73,-42,-71,-73,-33,17,28.72
29,"BA",2020-03-30,176,2,20,1,176,1,22,0,-62,-32,-61,-64,-43,19,35.05
29,"BA",2020-03-30,176,2,20,1,1,0,0,0,-62,-32,-61,-64,-43,19,35.05
29,"BA",2020-03-31,217,2,41,0,213,2,37,1,-60,-26,-56,-63,-43,17,35.56
29,"BA",2020-03-31,217,2,41,0,2,0,1,0,-60,-26,-56,-63,-43,17,35.56
29,"BA",2020-04-01,246,2,29,0,246,2,33,0,-59,-27,-53,-62,-41,17,38.24
29,"BA",2020-04-01,246,2,29,0,2,0,0,0,-59,-27,-53,-62,-41,17,38.24
29,"BA",2020-04-02,267,3,21,1,267,3,21,1,-59,-26,-51,-63,-41,17,37.91
29,"BA",2020-04-02,267,3,21,1,2,0,0,0,-59,-26,-51,-63,-41,17,37.91
29,"BA",2020-04-03,290,6,23,3,282,5,15,2,-60,-23,-58,-62,-39,19,41.7
29,"BA",2020-04-03,290,6,23,3,3,0,1,0,-60,-23,-58,-62,-39,19,41.7
29,"BA",2020-04-04,336,7,46,1,332,7,50,2,-63,-24,-62,-63,-35,17,42.64
29,"BA",2020-04-04,336,7,46,1,3,0,0,0,-63,-24,-62,-63,-35,17,42.64
29,"BA",2020-04-05,401,9,65,2,401,9,69,2,-70,-33,-68,-71,-31,16,33.17
29,"BA",2020-04-05,401,9,65,2,8,0,5,0,-70,-33,-68,-71,-31,16,33.17
29,"BA",2020-04-06,437,10,36,1,431,10,30,1,-59,-26,-60,-65,-39,18,39.26
29,"BA",2020-04-06,437,10,36,1,8,0,0,0,-59,-26,-60,-65,-39,18,39.26
29,"BA",2020-04-07,462,14,25,4,456,12,25,2,-53,-14,-52,-58,-38,15,44.35
29,"BA",2020-04-07,462,14,25,4,8,0,0,0,-53,-14,-52,-58,-38,15,44.35
29,"BA",2020-04-08,515,18,53,4,497,15,41,3,-52,-12,-46,-57,-36,15,46.11
29,"BA",2020-04-08,515,18,53,4,9,0,1,0,-52,-12,-46,-57,-36,15,46.11
29,"BA",2020-04-09,568,19,53,1,559,19,62,4,-49,-1,-44,-57,-38,14,51.44
29,"BA",2020-04-09,568,19,53,1,9,0,0,0,-49,-1,-44,-57,-38,14,51.44
29,"BA",2020-04-10,616,19,48,0,604,19,45,0,-79,-56,-65,-76,-69,23,37.97
29,"BA",2020-04-10,616,19,48,0,9,0,0,0,-79,-56,-65,-76,-69,23,37.97
29,"BA",2020-04-11,640,21,24,2,635,21,31,2,-64,-27,-64,-68,-40,17,44.94
29,"BA",2020-04-11,640,21,24,2,9,1,0,1,-64,-27,-64,-68,-40,17,44.94
29,"BA",2020-04-12,674,21,34,0,673,21,38,0,-69,-33,-68,-71,-30,15,36.08
29,"BA",2020-04-12,674,21,34,0,9,1,0,0,-69,-33,-68,-71,-30,15,36.08
29,"BA",2020-04-13,723,22,49,1,723,22,50,1,-59,-28,-62,-63,-38,18,38.93
29,"BA",2020-04-13,723,22,49,1,9,1,0,0,-59,-28,-62,-63,-38,18,38.93
29,"BA",2020-04-14,776,26,53,4,759,22,36,0,-56,-25,-56,-61,-37,16,41.45
29,"BA",2020-04-14,776,26,53,4,10,1,1,0,-56,-25,-56,-61,-37,16,41.45
29,"BA",2020-04-15,884,28,108,2,807,27,48,5,-55,-24,-51,-60,-35,17,42.62
29,"BA",2020-04-15,884,28,108,2,10,1,0,0,-55,-24,-51,-60,-35,17,42.62
29,"BA",2020-04-16,967,34,83,6,951,30,144,3,-55,-22,-47,-59,-35,16,45.88
